	Domain	Phylum	Class	Order	Family	Genus	Species
ASV15	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV16	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Streptomycetales	D_4__Streptomycetaceae	D_5__Streptomyces	
ASV17	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV18	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	D_6__uncultured delta proteobacterium
ASV19	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV20	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV21	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
ASV22	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Streptomycetales	D_4__Streptomycetaceae	D_5__Streptomyces	
ASV23	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV24	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	D_6__Dyadobacter endophyticus
ASV25	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV26	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV27	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	D_6__Dyadobacter endophyticus
ASV28	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
ASV29	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Streptomycetales	D_4__Streptomycetaceae	D_5__Streptomyces	
ASV30	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	D_6__Dyadobacter endophyticus
ASV31	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
ASV32	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV33	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	
ASV34	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV35	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	D_6__Dyadobacter endophyticus
ASV36	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Intrasporangiaceae	D_5__Terrabacter	
ASV37	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV38	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	
ASV39	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV40	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Streptomycetales	D_4__Streptomycetaceae	D_5__Streptomyces	
ASV41	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Gammaproteobacteria Incertae Sedis	D_4__Unknown Family	D_5__Acidibacter	
ASV42	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Beijerinckiaceae	D_5__Bosea	
ASV43	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Intrasporangiaceae	D_5__Terrabacter	
ASV44	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae		
ASV45	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	D_6__Dyadobacter endophyticus
ASV46	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Cupriavidus	
ASV47	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV48	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	
ASV49	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	
ASV50	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV51	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Beijerinckiaceae	D_5__Bosea	
ASV52	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Mesorhizobium	
ASV53	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__uncultured	
ASV54	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__uncultured	
ASV55	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
ASV56	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae	D_5__Stenotrophobacter	D_6__Stenotrophobacter terrae
ASV57	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae		
ASV58	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	
ASV59	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV60	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV61	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Beijerinckiaceae	D_5__Bosea	
ASV62	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
ASV63	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV64	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__uncultured	
ASV65	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Terrimonas	
ASV66	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV67	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae	D_5__Paenarthrobacter	
ASV68	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Burkholderia-Caballeronia-Paraburkholderia	
ASV69	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae		
ASV70	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae		
ASV71	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
ASV72	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Mesorhizobium	
ASV73	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV74	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV75	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Devosiaceae	D_5__Devosia	
ASV76	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV77	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Beijerinckiaceae	D_5__Bosea	
ASV78	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__Ellin6067	
ASV79	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
ASV80	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae		
ASV81	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV82	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV83	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Methylophilaceae		
ASV84	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__uncultured	
ASV85	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae		
ASV86	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae	D_5__Paenarthrobacter	
ASV87	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV88	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__Phenylobacterium	
ASV89	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae	D_5__Paenarthrobacter	
ASV90	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Microtrichales	D_4__Ilumatobacteraceae	D_5__CL500-29 marine group	D_6__'Hevea brasiliensis' phytoplasma
ASV91	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Mesorhizobium	
ASV92	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Devosiaceae	D_5__Devosia	
ASV93	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Burkholderia-Caballeronia-Paraburkholderia	
ASV94	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__Caulobacter	
ASV95	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV96	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Cupriavidus	
ASV97	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Xanthomonadales	D_4__Xanthomonadaceae	D_5__Lysobacter	
ASV98	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	
ASV99	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV100	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV101	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Xanthomonadales	D_4__Xanthomonadaceae	D_5__Luteimonas	
ASV102	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV103	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV104	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Chitinophaga	D_6__Chitinophaga filiformis
ASV105	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae	D_5__Bradyrhizobium	
ASV106	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Mesorhizobium	
ASV107	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Xanthomonadales	D_4__Xanthomonadaceae	D_5__Luteimonas	
ASV108	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Burkholderia-Caballeronia-Paraburkholderia	
ASV109	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__Caulobacter	
ASV110	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
ASV111	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales			
ASV112	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Methylophilaceae		
ASV113	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Devosiaceae	D_5__Devosia	
ASV114	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__Caulobacter	
ASV115	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV116	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Chitinophaga	D_6__Chitinophaga filiformis
ASV117	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae		
ASV118	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae		
ASV119	D_0__Bacteria	D_1__Nitrospirae	D_2__Nitrospira	D_3__Nitrospirales	D_4__Nitrospiraceae	D_5__Nitrospira	D_6__Nitrospira japonica
ASV120	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae		
ASV121	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales			
ASV122	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Devosiaceae	D_5__Devosia	
ASV123	D_0__Bacteria						
ASV124	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae	D_5__Stenotrophobacter	
ASV125	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales	D_4__bacterium LWQ8	D_5__bacterium LWQ8	D_6__bacterium LWQ8
ASV126	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	
ASV127	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Cupriavidus	
ASV128	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__Caulobacter	
ASV129	D_0__Bacteria	D_1__Armatimonadetes	D_2__Armatimonadia	D_3__Armatimonadales	D_4__Armatimonadaceae	D_5__Armatimonas	D_6__uncultured beta proteobacterium
ASV130	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV131	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV132	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV133	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV134	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Blastocatellales	D_4__Blastocatellaceae	D_5__Stenotrophobacter	D_6__Stenotrophobacter terrae
ASV135	D_0__Bacteria	D_1__Acidobacteria	D_2__Blastocatellia (Subgroup 4)	D_3__Pyrinomonadales	D_4__Pyrinomonadaceae	D_5__RB41	D_6__uncultured delta proteobacterium
ASV136	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae	D_5__Paenarthrobacter	
ASV137	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae		
ASV138	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	
ASV139	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV140	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae	D_5__Paenarthrobacter	
ASV141	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV142	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	
ASV143	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Chitinophaga	D_6__Chitinophaga filiformis
ASV144	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Propionibacteriales	D_4__Nocardioidaceae	D_5__Aeromicrobium	
ASV145	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Rhodocyclaceae		
ASV146	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Chitinophagaceae	D_5__Terrimonas	
ASV147	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV148	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium	
ASV149	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV150	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Micrococcaceae	D_5__Paenarthrobacter	
ASV151	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Burkholderia-Caballeronia-Paraburkholderia	
ASV152	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 6				
ASV153	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV154	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Intrasporangiaceae	D_5__Terrabacter	
ASV155	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Burkholderia-Caballeronia-Paraburkholderia	
ASV156	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Caulobacteraceae	D_5__Caulobacter	
ASV157	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Ramlibacter	
ASV158	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiales Incertae Sedis	D_5__Nordella	
ASV159	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV160	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales			
ASV161	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Nitrosomonadaceae	D_5__Ellin6067	
ASV162	D_0__Bacteria	D_1__Patescibacteria	D_2__Saccharimonadia	D_3__Saccharimonadales			
ASV163	D_0__Bacteria	D_1__Gemmatimonadetes	D_2__Gemmatimonadetes	D_3__Gemmatimonadales	D_4__Gemmatimonadaceae	D_5__uncultured	
ASV164	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae		
ASV165	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV166	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter	
ASV167	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Burkholderia-Caballeronia-Paraburkholderia	
ASV168	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Microtrichales	D_4__Ilumatobacteraceae	D_5__CL500-29 marine group	D_6__'Hevea brasiliensis' phytoplasma
ASV169	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
ASV170	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Xanthobacteraceae	D_5__Bradyrhizobium	
ASV171	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
